incident_id,date,title,company,ai_system_type,harm_category,harm_severity,sector,country,description,people_affected_estimate,financial_impact_usd,regulatory_response,technology_type,ai_task,root_cause,resolved,legal_action_taken,source_url,year,month,quarter,harm_domain,involved_fatalities
AIID-856,2024-09-15,Deepfake Audio Fabricates Biden Confession About Pakistan Crisis,Unknown,Voice Cloning / Deepfake Audio,Disinformation / Geopolitical,High,Government / Media,United States / Pakistan,"Deepfake audio purporting to be President Biden admitting responsibility for a political crisis in Pakistan was widely circulated on social media, demonstrating the growing sophistication of AI-generated political disinformation.",10000000.0,,Platform removals; FCC deepfake audio rules,Voice Cloning / Audio Synthesis,Speech Synthesis,Malicious use of voice cloning technology for political manipulation,False,False,https://incidentdatabase.ai/cite/856,2024,9,3,Misinformation & Manipulation,False
REAL-2024-04,2024-10-14,Portland Water Algorithm Gives Utility Discount to Wealthy Household,Portland Water Bureau,Benefit Allocation Algorithm,Discrimination / Misallocation,Medium,Government / Utilities,United States,"Portland Water Bureau's SERVUS algorithm, designed to allocate utility bill discounts to low-income residents, was found to have approved a high-wealth consumer for the poverty assistance program.",10000.0,,Internal audit; algorithm review,Machine Learning / Classification,Eligibility Determination,Insufficient input validation; over-reliance on self-reported data,True,False,https://incidentdatabase.ai/cite/868,2024,10,4,Fairness & Discrimination,False
AIID-857,2024-11-25,"Navigation App Directs Car Over Damaged Bridge, Three Die",Unknown Navigation App,Navigation / Routing Algorithm,Physical Harm / Death,Critical,Transportation,India,"A navigation app allegedly directed a car to cross a damaged bridge in Uttar Pradesh, India. The bridge collapsed and the vehicle fell into a gorge, killing three occupants.",3.0,,Local investigation,Mapping / Routing Algorithm,Navigation Routing,Outdated map data; no real-time infrastructure condition verification,False,True,https://incidentdatabase.ai/cite/857,2024,11,4,Safety & Security,True
AIID-861,2024-12-13,Apple Intelligence Fabricates False News Notifications,Apple,AI News Summarization,Misinformation,High,Technology / Media,Global,"Apple Intelligence notification summaries fabricated false news stories, including that Luigi Mangione had shot himself and that Benjamin Netanyahu had been arrested. The BBC and other outlets demanded Apple fix the system.",50000000.0,,BBC formal complaint; RSF open letter; Apple added disclaimers,Large Language Model / Summarization,Text Summarization,LLM hallucination in headline summarization; combining unrelated stories,True,False,https://incidentdatabase.ai/cite/861,2024,12,4,Misinformation & Manipulation,False
AIID-1295,2025-01-18,Japanese Teen Uses AI to Breach Company and Leak 7.3M Customer Records,Kaikatsu Frontier,AI-Assisted Hacking,Privacy Violation / Cybercrime,Critical,Technology,Japan,"A Japanese teenager allegedly used an AI-generated program to breach Kaikatsu Frontier's systems, leaking personal data of 7.3 million customers including names, addresses, and phone numbers.",7300000.0,,Arrest; data protection review,AI Code Generation,Code Generation (malicious),AI lowering barrier to cybercrime; automated vulnerability exploitation,True,True,https://incidentdatabase.ai/cite/1295,2025,1,1,Privacy & Surveillance,False
REAL-2025-01,2025-01-27,AI-Generated CSAM Arrests in Australia,Various AI Tools,Image Generation,Child Safety / Criminal,Critical,Law Enforcement,Australia,"Australian Federal Police arrested two men for possessing or creating AI-generated child sexual abuse material (CSAM), raising complex legal questions about AI-generated illegal content where no real child was directly harmed.",,,Australian law enforcement priority; legislative review,Image Generation / Diffusion Models,Image Generation (criminal misuse),Generative AI enabling creation of illegal content; safety filter bypass,True,True,Multiple verified news sources,2025,1,1,Safety & Security,False
AIID-1296,2025-02-05,AI Safety Filters Bypassed to Obtain Assault Guidance in Denmark,Unknown LLM Provider,Large Language Model,Physical Harm Facilitation,High,Technology,Denmark,An attacker reportedly bypassed AI safety filters to obtain guidance for a non-fatal hammer assault. The incident highlighted ongoing vulnerabilities in LLM safety guardrails to jailbreaking techniques.,1.0,,EU AI Act enforcement discussions,Large Language Model,Text Generation,Jailbreak vulnerability in safety filters; adversarial prompt engineering,False,True,https://incidentdatabase.ai/cite/1296,2025,2,1,Safety & Security,False
REAL-2025-02,2025-03-15,Italian Data Protection Authority Blocks DeepSeek Over Privacy Concerns,DeepSeek,Large Language Model,Privacy Violation / Data Sovereignty,High,Technology / Government,Italy,"Italy's data protection authority blocked DeepSeek AI from operating in the country over concerns about user data being sent to Chinese servers without adequate privacy protections, echoing earlier TikTok-style regulatory actions.",500000.0,,Service blocked in Italy; GDPR investigation,Large Language Model,Conversational AI,Cross-border data transfer without GDPR compliance,False,True,"Reuters, TechCrunch",2025,3,1,Privacy & Surveillance,False
AIID-1259,2025-07-25,ChatGPT Allegedly Encouraged User's Suicide During Extended Conversation,OpenAI,Large Language Model,Psychological Harm / Death,Critical,Technology,United States,A 23-year-old Texas man allegedly took his own life after extended conversations with ChatGPT. His family claimed the AI system failed to redirect him to mental health resources and engaged with suicidal ideation.,1.0,,Congressional scrutiny; calls for AI safety standards,Large Language Model,Conversational AI,Insufficient mental health safeguards in extended conversations,False,True,https://incidentdatabase.ai/cite/1259,2025,7,3,Safety & Security,True
AIID-1294,2025-12-05,New York Times Sues Perplexity AI for Copyright Infringement and False Attribution,Perplexity AI,AI Search Engine,Intellectual Property / Misinformation,High,Media / Technology,United States,The New York Times sued Perplexity AI alleging the AI search engine used copyrighted content without authorization and generated responses that falsely attributed fabricated information to the Times.,100000000.0,,Ongoing litigation,RAG / Large Language Model,Information Retrieval / Search,Unauthorized content scraping; LLM hallucination of attributions,False,True,https://incidentdatabase.ai/cite/1294,2025,12,4,Economic Harm,False
AIID-1326,2025-12-20,Waymo Robotaxis Cause Traffic Gridlock During San Francisco Power Outage,Waymo,Autonomous Vehicle Fleet,Infrastructure Disruption,Medium,Transportation,United States,"During a PG&E power outage in San Francisco, Waymo robotaxis contributed to significant traffic gridlock as the vehicles struggled to navigate intersections without functioning traffic signals.",100000.0,,City review of autonomous vehicle protocols,Autonomous Driving,Navigation / Traffic Management,Inadequate handling of infrastructure failure scenarios,True,False,https://incidentdatabase.ai/cite/1326,2025,12,4,Safety & Security,False
